sku;barcode_1;supplier_1_order_code;title_short;supplier_1;supplier_1_purchase_price_net;price_trading;price_sale-nl_NL;price_advice;vat_code_NL;threshold_quantity;supplier_1_amount_order_factor
393812;8712013144283;2304428;BC Koekenpan Turn d.24cm;2;7.56;0.00;13.95;16.95;2;10;12.00
393813;8712013144320;2304432;BC Hapjespan Turn d.24cm;2;8.57;0.00;16.95;19.95;2;20;12.00
393814;8712013144368;2304436;BC Wokpan Turn d.28cm;2;9.62;0.00;18.95;21.95;2;20;12.00
393816;8712013710112;4271011;BL Chill mat Picnic azure 2,0x1,8mt;2;12.71;0.00;27.95;35.95;2;10;10.00
393817;8712013710129;4271012;BL Chill mat Picnic grass 2,0x1,8mt;2;12.71;0.00;27.95;35.95;2;10;10.00
393819;8712013710211;4271021;BL Chill mat azure 2,0x2,7mtr;2;17.78;0.00;36.95;44.95;2;5;8.00
393820;8712013710228;4271022;BL Chill mat grass 2,0x2,7mtr;2;17.78;0.00;36.95;44.95;2;5;8.00
393821;8712013710242;4271024;BL Chill mat champagne 2,0x2,7mtr;2;17.78;0.00;36.95;44.95;2;5;8.00
393826;8712013014395;6101439;BC Champagneflute Deluxe PC 2st;2;3.75;0.00;7.95;10.75;2;20;24.00
394008;6951218414605;9105306670;Freshwell 3000;144;971.32;0.00;1295.00;1440.00;2;2;0.00
394025;4014742204486;9107100640;Dometic Saneocomfort Cs Toilet;144;458.23;0.00;709.00;762.00;2;2;0.00
399685;8718158098726;042244240;Emmer Flexibel Vierkant 25 Lit;700083;1.75;0.00;2.95;0.00;2;;18.00
399686;8718226550934;128010390;Vislijn Set Van 2;700083;1.50;0.00;2.95;0.00;2;;48.00
399687;8718885403046;128010650;Xq Max Soft Lure Set 26 Stuks.;700083;1.00;0.00;1.95;0.00;2;;48.00
399688;8718885403077;128010660;Xq Max Kunstaas Plastic 2 Stuk;700083;1.00;0.00;1.95;0.00;2;;48.00
399708;8718158095732;CY8280050;Watertank 10Ltr;700083;0.82;0.00;1.95;0.00;2;;48.00
399711;8718158648488;DX9100121;Solarlamp Rvs Met Glazen Bol;700083;1.45;0.00;2.95;0.00;2;;12.00
400621;8712757027798;5600221;Pakkingring din 5 stuks;640;1.28;0.00;3.50;3.50;2;;1.00
401190;4052816008356;5387460;Truma combi 6/6E printplaat;640;207.52;0.00;399.95;0.00;2;;1.00
401404;8712757437191;5701760;Gimeg rechte aansluiting 6/8 X 8/10;640;2.08;0.00;4.50;4.50;2;5;1.00
401455;8712757411429;5703181;Gimeg rechte aansluiting 10/12 X 12;640;3.68;0.00;7.95;7.95;2;;1.00
401472;8712757411207;5703641;Gimeg rechte aansluiting 3/8 inch b;640;5.16;0.00;10.95;10.95;2;;1.00
401513;8712757411122;5704241;Gimeg rechte aansluiting 10mm X 10m;640;2.84;0.00;7.95;7.95;2;;1.00
401536;8712757420490;5706141;Gimeg wartel 8 mm;640;1.05;0.00;2.95;2.95;2;;0.00
401542;8712757411559;5706681;Gimeg snijring recht 12mm knelkoppe;640;1.14;0.00;2.50;2.56;2;;5.00
401544;8712757419807;5706711;Gimeg snijring knelkoppeling 8mm;640;0.93;0.00;1.95;2.00;2;;1.00
401545;8712757419838;5706721;Gimeg snijring knelkoppeling 10mm;640;1.15;0.00;2.50;2.50;2;5;1.00
412204;2000009050974;0905097;Thule Caravan Superb Short Version;175;152.55;0.00;225.00;294.01;2;;0.00
417028;8712013063553;3506355;BC schuimmat isolerend 2-P;2;3.64;0.00;6.95;9.25;2;20;60.00
417664;4015000431798;5712202;Pattex Special textiellijm 20gr.;2;2.59;0.00;4.95;5.25;2;10;6.00
418253;8719075945599;BU-50782;Powerflite Bull's Power black;12750;0.55;0.00;1.25;0.00;2;;0.00
418256;8719075942673;BU-61111;Ball Point black soft tip 30 pc;12750;1.40;0.00;2.75;0.00;2;;0.00
